"","X","Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","HomeGoals","Home_xG","AwayGoals","Away_xG","Attendance","Venue","Referee","Notes","MatchURL","MatchID","Location","Team","Ids","sourceurl","iconurl","Points","Actual_GD","x_GD","Actual_GF","Actual_GA","Actual_xG","Actual_xGA","GameNumber","RecentGames","cum_Actual_Goals","cum_XGF","W"
"1",1,"Premier League","M","ENG",2023,NA,1,"Fri",2022-08-05,"20:00",0,1.2,2,1,25286,"Selhurst Park","Anthony Taylor","","https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League",1,"Home","Crystal Palace","9826","https://images.fotmob.com/image_resources/logo/teamlogo/","https://images.fotmob.com/image_resources/logo/teamlogo/9826.png",0,-2,0.2,0,2,1.2,1,1,20,0,1.2,0
"2",120,"Premier League","M","ENG",2023,NA,2,"Mon",2022-08-15,"20:00",1,2,1,1,52970,"Anfield","Paul Tierney","","https://fbref.com/en/matches/b3c6f709/Liverpool-Crystal-Palace-August-15-2022-Premier-League",20,"Away","Crystal Palace","9826","https://images.fotmob.com/image_resources/logo/teamlogo/","https://images.fotmob.com/image_resources/logo/teamlogo/9826.png",1,0,-1,1,1,1,2,2,19,1,2.2,0
"3",224,"Premier League","M","ENG",2023,NA,3,"Sat",2022-08-20,"15:00",3,2.6,1,0.9,22012,"Selhurst Park","Andy Madley","","https://fbref.com/en/matches/3f89bccf/Crystal-Palace-Aston-Villa-August-20-2022-Premier-League",24,"Home","Crystal Palace","9826","https://images.fotmob.com/image_resources/logo/teamlogo/","https://images.fotmob.com/image_resources/logo/teamlogo/9826.png",3,2,1.7,3,1,2.6,0.9,3,18,4,4.8,1
"4",322,"Premier League","M","ENG",2023,NA,4,"Sat",2022-08-27,"15:00",4,2.2,2,0.1,53112,"Etihad Stadium","Darren England","","https://fbref.com/en/matches/3b9bbac7/Manchester-City-Crystal-Palace-August-27-2022-Premier-League",32,"Away","Crystal Palace","9826","https://images.fotmob.com/image_resources/logo/teamlogo/","https://images.fotmob.com/image_resources/logo/teamlogo/9826.png",0,-2,-2.1,2,4,0.1,2.2,4,17,6,4.9,0
"5",332,"Premier League","M","ENG",2023,NA,5,"Tue",2022-08-30,"19:30",1,1,1,1.4,25043,"Selhurst Park","Simon Hooper","","https://fbref.com/en/matches/e1d6440f/Crystal-Palace-Brentford-August-30-2022-Premier-League",42,"Home","Crystal Palace","9826","https://images.fotmob.com/image_resources/logo/teamlogo/","https://images.fotmob.com/image_resources/logo/teamlogo/9826.png",1,0,-0.4,1,1,1,1.4,5,16,7,5.9,0
"6",344,"Premier League","M","ENG",2023,NA,6,"Sat",2022-09-03,"15:00",0,2.8,0,1,51863,"St James' Park","Michael Salisbury","","https://fbref.com/en/matches/4ca4efa3/Newcastle-United-Crystal-Palace-September-3-2022-Premier-League",54,"Away","Crystal Palace","9826","https://images.fotmob.com/image_resources/logo/teamlogo/","https://images.fotmob.com/image_resources/logo/teamlogo/9826.png",1,0,-1.8,0,0,1,2.8,6,15,7,6.9,0
"7",359,"Premier League","M","ENG",2023,NA,7,"Wed",2023-01-18,"20:00",1,0.5,1,2.1,23343,"Selhurst Park","Robert Jones","","https://fbref.com/en/matches/adf46096/Crystal-Palace-Manchester-United-January-18-2023-Premier-League",62,"Home","Crystal Palace","9826","https://images.fotmob.com/image_resources/logo/teamlogo/","https://images.fotmob.com/image_resources/logo/teamlogo/9826.png",1,0,-1.6,1,1,0.5,2.1,7,14,8,7.4,0
"8",373,"Premier League","M","ENG",2023,NA,9,"Sat",2022-10-01,"15:00",1,0.4,2,1.1,25198,"Selhurst Park","Chris Kavanagh","","https://fbref.com/en/matches/372249f3/Crystal-Palace-Chelsea-October-1-2022-Premier-League",73,"Home","Crystal Palace","9826","https://images.fotmob.com/image_resources/logo/teamlogo/","https://images.fotmob.com/image_resources/logo/teamlogo/9826.png",0,-1,-0.7,1,2,0.4,1.1,8,13,9,7.8,0
"9",17,"Premier League","M","ENG",2023,NA,10,"Sun",2022-10-09,"14:00",2,1.1,1,1,25042,"Selhurst Park","Paul Tierney","","https://fbref.com/en/matches/f9563020/Crystal-Palace-Leeds-United-October-9-2022-Premier-League",87,"Home","Crystal Palace","9826","https://images.fotmob.com/image_resources/logo/teamlogo/","https://images.fotmob.com/image_resources/logo/teamlogo/9826.png",3,1,0.1,2,1,1.1,1,9,12,11,8.9,1
"10",22,"Premier League","M","ENG",2023,NA,11,"Sat",2022-10-15,"12:30",0,1,0,0.4,31298,"King Power Stadium","Andy Madley","","https://fbref.com/en/matches/37677e58/Leicester-City-Crystal-Palace-October-15-2022-Premier-League",92,"Away","Crystal Palace","9826","https://images.fotmob.com/image_resources/logo/teamlogo/","https://images.fotmob.com/image_resources/logo/teamlogo/9826.png",1,0,-0.6,0,0,0.4,1,10,11,11,9.3,0
