"","League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","Prog_Passes","Succ_Dribbles","Att_Dribbles"
"1","Premier League","2022-08-05","Premier League (Matchweek 1)","Crystal Palace","4-2-3-1",0,1.2,"","1","0","Arsenal","4-3-3",2,1,"Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;","2","0","https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Crystal Palace","Home",990,0,0,0,0,10,2,1,0,723,18,8,10,1.2,1.2,1.1,18,0,514,609,84.4,23,16,29
"2","Premier League","2022-08-05","Premier League (Matchweek 1)","Crystal Palace","4-2-3-1",0,1.2,"","1","0","Arsenal","4-3-3",2,1,"Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;","2","0","https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Arsenal","Away",990,1,1,0,0,10,2,2,0,598,29,9,17,1,1,0.6,18,2,378,469,80.6,32,13,17
"3","Premier League","2022-08-06","Premier League (Matchweek 1)","Fulham","4-2-3-1",2,1.2,"Aleksandar Mitrovic · 32&rsquor; Aleksandar Mitrovic (P) · 72&rsquor;","2","0","Liverpool","4-3-3",2,1.2,"Darwin Núñez · 64&rsquor; Mohamed Salah · 80&rsquor;","0","0","https://fbref.com/en/matches/6713c1dc/Fulham-Liverpool-August-6-2022-Premier-League","Fulham","Home",990,2,1,1,1,8,2,2,0,469,24,10,9,1.2,0.5,0.4,14,4,203,340,59.7,21,5,11
"4","Premier League","2022-08-06","Premier League (Matchweek 1)","Fulham","4-2-3-1",2,1.2,"Aleksandar Mitrovic · 32&rsquor; Aleksandar Mitrovic (P) · 72&rsquor;","2","0","Liverpool","4-3-3",2,1.2,"Darwin Núñez · 64&rsquor; Mohamed Salah · 80&rsquor;","0","0","https://fbref.com/en/matches/6713c1dc/Fulham-Liverpool-August-6-2022-Premier-League","Liverpool","Away",990,2,1,0,0,11,3,0,0,777,11,10,16,1.2,1.2,0.9,20,4,514,675,76.1,39,4,17
"5","Premier League","2022-08-06","Premier League (Matchweek 1)","Tottenham Hotspur","3-4-3",4,1.5,"Ryan Sessegnon · 21&rsquor; Eric Dier · 31&rsquor; Mohammed Salisu (OG) · 61&rsquor; Dejan Kulusevski · 63&rsquor;","3","0","Southampton","5-3-2",1,0.5,"James Ward-Prowse · 12&rsquor;","0","0","https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League","Tottenham Hotspur","Home",990,3,3,0,0,18,8,3,0,704,24,3,12,1.6,1.6,1.4,33,6,501,604,82.9,42,7,13
"6","Premier League","2022-08-06","Premier League (Matchweek 1)","Tottenham Hotspur","3-4-3",4,1.5,"Ryan Sessegnon · 21&rsquor; Eric Dier · 31&rsquor; Mohammed Salisu (OG) · 61&rsquor; Dejan Kulusevski · 63&rsquor;","3","0","Southampton","5-3-2",1,0.5,"James Ward-Prowse · 12&rsquor;","0","0","https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League","Southampton","Away",990,1,1,0,0,10,2,0,0,549,14,13,14,0.5,0.5,0.4,17,2,351,445,78.9,22,9,18
"7","Premier League","2022-08-06","Premier League (Matchweek 1)","Newcastle United","4-3-3",2,1.7,"Fabian Schär · 58&rsquor; Callum Wilson · 78&rsquor;","0","0","Nottingham Forest","3-4-1-2",0,0.3,"","3","0","https://fbref.com/en/matches/1ac96eb4/Newcastle-United-Nottingham-Forest-August-6-2022-Premier-League","Newcastle United","Home",990,2,1,0,0,23,9,0,0,633,19,11,8,1.7,1.7,1.7,45,4,415,526,78.9,46,12,22
"8","Premier League","2022-08-06","Premier League (Matchweek 1)","Newcastle United","4-3-3",2,1.7,"Fabian Schär · 58&rsquor; Callum Wilson · 78&rsquor;","0","0","Nottingham Forest","3-4-1-2",0,0.3,"","3","0","https://fbref.com/en/matches/1ac96eb4/Newcastle-United-Nottingham-Forest-August-6-2022-Premier-League","Nottingham Forest","Away",990,0,0,0,0,5,0,3,0,470,15,10,13,0.3,0.3,0.1,8,0,243,342,71.1,12,5,17
"9","Premier League","2022-08-06","Premier League (Matchweek 1)","Leeds United","4-2-3-1",2,0.8,"Rodrigo · 24&rsquor; Rayan Aït Nouri (OG) · 74&rsquor;","2","0","Wolverhampton Wanderers","4-2-3-1",1,1.3,"Daniel Podence · 6&rsquor;","0","0","https://fbref.com/en/matches/82702941/Leeds-United-Wolverhampton-Wanderers-August-6-2022-Premier-League","Leeds United","Home",990,1,1,0,0,12,4,2,0,512,21,14,13,0.8,0.8,0.7,18,0,295,399,73.9,27,7,14
"10","Premier League","2022-08-06","Premier League (Matchweek 1)","Leeds United","4-2-3-1",2,0.8,"Rodrigo · 24&rsquor; Rayan Aït Nouri (OG) · 74&rsquor;","2","0","Wolverhampton Wanderers","4-2-3-1",1,1.3,"Daniel Podence · 6&rsquor;","0","0","https://fbref.com/en/matches/82702941/Leeds-United-Wolverhampton-Wanderers-August-6-2022-Premier-League","Wolverhampton Wanderers","Away",990,1,1,0,0,15,6,0,0,720,16,14,6,1.3,1.3,1.3,27,2,502,597,84.1,29,25,41
"11","Premier League","2022-08-06","Premier League (Matchweek 1)","Bournemouth","3-4-3",2,0.6,"Jefferson Lerma · 2&rsquor; Kieffer Moore · 80&rsquor;","3","0","Aston Villa","4-3-3",0,0.7,"","3","0","https://fbref.com/en/matches/877e3193/Bournemouth-Aston-Villa-August-6-2022-Premier-League","Bournemouth","Home",990,2,1,0,0,7,3,3,0,463,20,13,14,0.6,0.6,0.3,11,3,233,333,70,12,10,20
"12","Premier League","2022-08-06","Premier League (Matchweek 1)","Bournemouth","3-4-3",2,0.6,"Jefferson Lerma · 2&rsquor; Kieffer Moore · 80&rsquor;","3","0","Aston Villa","4-3-3",0,0.7,"","3","0","https://fbref.com/en/matches/877e3193/Bournemouth-Aston-Villa-August-6-2022-Premier-League","Aston Villa","Away",990,0,0,0,0,15,2,3,0,719,10,8,9,0.7,0.7,0.4,24,0,509,630,80.8,36,14,25
"13","Premier League","2022-08-06","Premier League (Matchweek 1)","Everton","5-4-1",0,0.7,"","3","0","Chelsea","3-4-3",1,1.5,"Jorginho (P) · 45+9&rsquor;","2","0","https://fbref.com/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League","Everton","Home",990,0,0,0,0,8,3,3,0,490,24,8,14,0.7,0.7,0.4,15,0,272,377,72.1,13,10,21
"14","Premier League","2022-08-06","Premier League (Matchweek 1)","Everton","5-4-1",0,0.7,"","3","0","Chelsea","3-4-3",1,1.5,"Jorginho (P) · 45+9&rsquor;","2","0","https://fbref.com/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League","Chelsea","Away",990,1,0,1,1,14,5,2,0,726,19,9,13,1.6,0.9,0.7,28,2,516,616,83.8,31,13,20
